"Date","Price","Open","High","Low","Vol.","Change %"
"12/26/1986","18,820.64","18,820.64","18,820.64","18,820.64","","0.25%"
"12/25/1986","18,774.26","18,774.26","18,774.26","18,774.26","","-0.68%"
"12/24/1986","18,902.85","18,902.85","18,902.85","18,902.85","","0.50%"
"12/23/1986","18,808.50","18,808.50","18,808.50","18,808.50","","-0.09%"
"12/22/1986","18,825.39","18,825.39","18,825.39","18,825.39","","-0.55%"
"12/19/1986","18,930.00","18,930.00","18,930.00","18,930.00","","1.10%"
"12/18/1986","18,723.69","18,723.69","18,723.69","18,723.69","","-0.66%"
"12/17/1986","18,847.89","18,847.89","18,847.89","18,847.89","","-0.45%"
"12/16/1986","18,933.10","18,933.10","18,933.10","18,933.10","","0.77%"
"12/15/1986","18,788.89","18,788.89","18,788.89","18,788.89","","-0.22%"
"12/12/1986","18,830.60","18,830.60","18,830.60","18,830.60","","0.53%"
"12/11/1986","18,731.19","18,731.19","18,731.19","18,731.19","","-0.24%"
"12/10/1986","18,776.19","18,776.19","18,776.19","18,776.19","","0.93%"
"12/09/1986","18,602.69","18,602.69","18,602.69","18,602.69","","-0.58%"
"12/08/1986","18,710.69","18,710.69","18,710.69","18,710.69","","0.39%"
"12/05/1986","18,637.39","18,637.39","18,637.39","18,637.39","","0.07%"
"12/04/1986","18,623.89","18,623.89","18,623.89","18,623.89","","0.91%"
"12/03/1986","18,455.10","18,455.10","18,455.10","18,455.10","","1.45%"
"12/02/1986","18,191.00","18,191.00","18,191.00","18,191.00","","-0.64%"
"12/01/1986","18,308.00","18,308.00","18,308.00","18,308.00","","1.24%"
"11/28/1986","18,083.00","18,083.00","18,083.00","18,083.00","","1.11%"
"11/27/1986","17,883.65","17,883.65","17,883.65","17,883.65","","0.88%"
"11/26/1986","17,727.89","17,727.89","17,727.89","17,727.89","","-0.11%"
"11/25/1986","17,747.50","17,747.50","17,747.50","17,747.50","","1.47%"
"11/24/1986","17,489.57","17,489.57","17,489.57","17,489.57","","0.00%"
"11/21/1986","17,489.57","17,489.57","17,489.57","17,489.57","","1.07%"
"11/20/1986","17,304.60","17,304.60","17,304.60","17,304.60","","0.12%"
"11/19/1986","17,283.81","17,283.81","17,283.81","17,283.81","","0.06%"
"11/18/1986","17,273.52","17,273.52","17,273.52","17,273.52","","0.38%"
"11/17/1986","17,208.10","17,208.10","17,208.10","17,208.10","","-1.05%"
"11/14/1986","17,390.50","17,390.50","17,390.50","17,390.50","","-0.28%"
"11/13/1986","17,438.50","17,438.50","17,438.50","17,438.50","","-0.05%"
"11/12/1986","17,447.89","17,447.89","17,447.89","17,447.89","","0.85%"
"11/11/1986","17,300.60","17,300.60","17,300.60","17,300.60","","1.45%"
"11/10/1986","17,053.20","17,053.20","17,053.20","17,053.20","","0.47%"
"11/07/1986","16,973.60","16,973.60","16,973.60","16,973.60","","1.28%"
"11/06/1986","16,758.30","16,758.30","16,758.30","16,758.30","","0.27%"
"11/05/1986","16,713.69","16,713.69","16,713.69","16,713.69","","-0.44%"
"11/04/1986","16,786.89","16,786.89","16,786.89","16,786.89","","-0.73%"
"11/03/1986","16,910.63","16,910.63","16,910.63","16,910.63","","0.00%"
"10/31/1986","16,910.63","16,910.63","16,910.63","16,910.63","","-0.59%"
"10/30/1986","17,010.89","17,010.89","17,010.89","17,010.89","","3.06%"
"10/29/1986","16,505.39","16,505.39","16,505.39","16,505.39","","0.66%"
"10/28/1986","16,397.80","16,397.80","16,397.80","16,397.80","","1.49%"
"10/27/1986","16,157.80","16,157.80","16,157.80","16,157.80","","-0.77%"
"10/24/1986","16,284.00","16,284.00","16,284.00","16,284.00","","-0.15%"
"10/23/1986","16,308.30","16,308.30","16,308.30","16,308.30","","3.09%"
"10/22/1986","15,819.50","15,819.50","15,819.50","15,819.50","","-2.38%"
"10/21/1986","16,205.80","16,205.80","16,205.80","16,205.80","","-1.92%"
"10/20/1986","16,523.39","16,523.39","16,523.39","16,523.39","","-1.07%"
"10/17/1986","16,701.34","16,701.34","16,701.34","16,701.34","","-1.01%"
"10/16/1986","16,871.89","16,871.89","16,871.89","16,871.89","","-0.58%"
"10/15/1986","16,970.10","16,970.10","16,970.10","16,970.10","","-2.01%"
"10/14/1986","17,318.00","17,318.00","17,318.00","17,318.00","","-0.12%"
"10/13/1986","17,338.69","17,338.69","17,338.69","17,338.69","","-1.76%"
"10/10/1986","17,650.19","17,650.19","17,650.19","17,650.19","","0.00%"
"10/09/1986","17,650.19","17,650.19","17,650.19","17,650.19","","0.77%"
"10/08/1986","17,514.80","17,514.80","17,514.80","17,514.80","","-0.51%"
"10/07/1986","17,604.39","17,604.39","17,604.39","17,604.39","","0.97%"
"10/06/1986","17,435.30","17,435.30","17,435.30","17,435.30","","1.13%"
"10/03/1986","17,240.22","17,240.22","17,240.22","17,240.22","","1.30%"
"10/02/1986","17,019.10","17,019.10","17,019.10","17,019.10","","-3.10%"
"10/01/1986","17,564.39","17,564.39","17,564.39","17,564.39","","-1.62%"
"09/30/1986","17,852.89","17,852.89","17,852.89","17,852.89","","-1.40%"
"09/29/1986","18,106.31","18,106.31","18,106.31","18,106.31","","0.81%"
"09/26/1986","17,960.98","17,960.98","17,960.98","17,960.98","","-0.15%"
"09/25/1986","17,988.30","17,988.30","17,988.30","17,988.30","","0.18%"
"09/24/1986","17,955.80","17,955.80","17,955.80","17,955.80","","1.41%"
"09/23/1986","17,706.30","17,706.30","17,706.30","17,706.30","","0.00%"
"09/22/1986","17,706.30","17,706.30","17,706.30","17,706.30","","1.04%"
"09/19/1986","17,523.39","17,523.39","17,523.39","17,523.39","","0.26%"
"09/18/1986","17,478.30","17,478.30","17,478.30","17,478.30","","0.82%"
"09/17/1986","17,336.60","17,336.60","17,336.60","17,336.60","","-0.72%"
"09/16/1986","17,463.19","17,463.19","17,463.19","17,463.19","","-3.52%"
"09/15/1986","18,100.52","18,100.52","18,100.52","18,100.52","","0.00%"
"09/12/1986","18,100.52","18,100.52","18,100.52","18,100.52","","-2.48%"
"09/11/1986","18,561.25","18,561.25","18,561.25","18,561.25","","-0.31%"
