"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2002","2,892.63","2,838.87","2,900.95","2,836.01","","1.85%"
"12/27/2002","2,840.00","2,996.67","2,996.67","2,840.00","","-5.36%"
"12/23/2002","3,000.84","3,022.31","3,048.29","2,961.78","","-0.77%"
"12/20/2002","3,024.22","2,970.28","3,039.12","2,948.56","","2.12%"
"12/19/2002","2,961.41","3,031.98","3,099.32","2,925.87","","-2.03%"
"12/18/2002","3,022.69","3,136.04","3,136.04","3,022.69","","-3.74%"
"12/17/2002","3,139.97","3,209.65","3,222.40","3,136.09","","-2.04%"
"12/16/2002","3,205.29","3,074.51","3,205.29","3,029.74","","4.17%"
"12/13/2002","3,077.06","3,110.79","3,122.53","3,034.12","","-1.12%"
"12/12/2002","3,111.88","3,193.59","3,208.59","3,098.26","","-2.63%"
"12/11/2002","3,196.05","3,166.46","3,212.62","3,134.37","","0.89%"
"12/10/2002","3,167.99","3,062.87","3,173.96","3,062.87","","3.34%"
"12/09/2002","3,065.57","3,206.36","3,223.42","3,065.57","","-4.43%"
"12/06/2002","3,207.53","3,221.68","3,245.76","3,108.76","","-0.53%"
"12/05/2002","3,224.74","3,327.75","3,386.27","3,189.12","","-2.89%"
"12/04/2002","3,320.75","3,275.80","3,331.14","3,235.58","","1.23%"
"12/03/2002","3,280.49","3,389.13","3,410.95","3,278.63","","-2.95%"
"12/02/2002","3,380.20","3,332.73","3,476.83","3,332.73","","1.80%"
"11/29/2002","3,320.32","3,361.06","3,403.40","3,320.32","","-1.20%"
"11/28/2002","3,360.76","3,342.58","3,376.99","3,305.44","","0.44%"
"11/27/2002","3,346.14","3,184.47","3,346.14","3,148.94","","4.84%"
"11/26/2002","3,191.63","3,299.61","3,333.53","3,183.30","","-3.26%"
"11/25/2002","3,299.24","3,322.78","3,365.59","3,278.59","","-0.65%"
"11/22/2002","3,320.88","3,302.68","3,337.34","3,278.00","","0.49%"
"11/21/2002","3,304.63","3,216.54","3,304.83","3,216.54","","2.85%"
"11/20/2002","3,212.99","3,210.22","3,224.78","3,117.02","","0.19%"
"11/19/2002","3,206.93","3,205.76","3,221.98","3,144.78","","-0.36%"
"11/18/2002","3,218.36","3,195.97","3,262.08","3,185.06","","0.83%"
"11/15/2002","3,191.76","3,195.99","3,232.07","3,151.61","","0.11%"
"11/14/2002","3,188.39","3,063.30","3,191.67","3,035.72","","3.98%"
"11/13/2002","3,066.42","3,096.70","3,121.32","2,987.85","","-1.59%"
"11/12/2002","3,115.88","3,040.14","3,129.66","3,024.97","","2.43%"
"11/11/2002","3,042.06","3,076.25","3,076.25","3,005.43","","-1.20%"
"11/08/2002","3,079.10","3,157.91","3,174.39","3,072.81","","-2.43%"
"11/07/2002","3,155.66","3,298.51","3,334.51","3,130.44","","-4.34%"
"11/06/2002","3,298.84","3,356.06","3,443.49","3,280.90","","-1.57%"
"11/05/2002","3,351.32","3,318.17","3,395.53","3,268.13","","0.70%"
"11/04/2002","3,327.94","3,167.49","3,330.94","3,167.49","","5.14%"
"11/01/2002","3,165.16","3,152.19","3,174.01","3,056.22","","0.39%"
"10/31/2002","3,152.85","3,115.76","3,216.27","3,086.62","","1.26%"
"10/30/2002","3,113.59","3,024.90","3,140.39","2,999.60","","3.03%"
"10/29/2002","3,022.01","3,188.72","3,188.72","3,010.74","","-5.53%"
"10/28/2002","3,198.96","3,105.29","3,235.66","3,105.29","","3.13%"
"10/25/2002","3,102.01","3,089.71","3,119.71","3,018.74","","0.39%"
"10/24/2002","3,090.01","3,027.36","3,129.57","3,020.05","","2.47%"
"10/23/2002","3,015.42","3,164.58","3,232.98","2,983.64","","-4.45%"
"10/22/2002","3,155.97","3,269.80","3,299.01","3,141.60","","-3.86%"
"10/21/2002","3,282.67","3,151.94","3,282.67","3,096.12","","3.76%"
"10/18/2002","3,163.67","3,172.34","3,226.25","3,083.46","","-0.28%"
"10/17/2002","3,172.46","3,021.74","3,187.27","3,018.09","","5.43%"
"10/16/2002","3,008.93","3,038.18","3,106.29","2,966.44","","-1.29%"
"10/15/2002","3,048.27","2,856.58","3,048.27","2,856.58","","6.95%"
"10/14/2002","2,850.11","2,928.63","2,928.63","2,793.93","","-2.75%"
"10/11/2002","2,930.74","2,731.84","2,930.74","2,714.41","","7.23%"
"10/10/2002","2,733.19","2,593.26","2,733.19","2,548.40","","5.21%"
"10/09/2002","2,597.88","2,617.54","2,620.00","2,519.30","","-0.92%"
"10/08/2002","2,622.09","2,679.02","2,723.37","2,542.65","","-1.70%"
"10/07/2002","2,667.39","2,710.33","2,710.33","2,621.86","","-1.74%"
"10/04/2002","2,714.62","2,812.15","2,847.42","2,677.61","","-3.51%"
"10/03/2002","2,813.30","2,923.55","2,939.69","2,809.84","","-3.88%"
"10/02/2002","2,926.74","2,866.26","2,974.34","2,817.36","","2.15%"
"10/01/2002","2,865.23","2,772.96","2,894.93","2,729.57","","3.47%"
"09/30/2002","2,769.03","2,906.60","2,906.60","2,719.49","","-5.13%"
"09/27/2002","2,918.90","3,020.71","3,050.77","2,888.45","","-3.37%"
"09/26/2002","3,020.60","2,963.12","3,058.87","2,932.85","","1.96%"
"09/25/2002","2,962.50","2,872.98","2,979.60","2,806.83","","3.11%"
"09/24/2002","2,873.21","2,913.16","2,959.49","2,774.36","","-1.41%"
"09/23/2002","2,914.25","3,063.44","3,106.09","2,890.30","","-4.94%"
"09/20/2002","3,065.73","3,001.88","3,093.22","2,956.56","","1.94%"
"09/19/2002","3,007.47","3,136.33","3,162.07","3,007.47","","-3.76%"
"09/18/2002","3,124.92","3,277.41","3,277.41","3,111.01","","-4.99%"
"09/17/2002","3,289.13","3,321.76","3,445.59","3,243.81","","-0.90%"
"09/16/2002","3,319.05","3,359.33","3,378.11","3,288.22","","-1.26%"
"09/13/2002","3,361.28","3,406.58","3,406.58","3,275.28","","-1.77%"
"09/12/2002","3,421.87","3,573.22","3,573.22","3,421.87","","-4.54%"
"09/11/2002","3,584.69","3,507.50","3,615.59","3,467.22","","2.58%"
"09/10/2002","3,494.69","3,437.11","3,515.52","3,437.11","","1.91%"
"09/09/2002","3,429.22","3,480.57","3,480.57","3,383.68","","-1.62%"
"09/06/2002","3,485.68","3,361.67","3,486.51","3,352.10","","3.90%"
"09/05/2002","3,354.71","3,429.48","3,466.68","3,301.81","","-2.08%"
"09/04/2002","3,425.90","3,396.80","3,463.05","3,348.63","","0.79%"
"09/03/2002","3,398.99","3,609.03","3,609.03","3,398.99","","-5.83%"
"09/02/2002","3,609.41","3,698.69","3,698.69","3,602.37","","-2.79%"
"08/30/2002","3,712.94","3,658.67","3,720.50","3,603.04","","1.42%"
"08/29/2002","3,660.95","3,681.29","3,697.54","3,580.91","","-0.59%"
"08/28/2002","3,682.84","3,836.08","3,836.08","3,682.31","","-4.38%"
"08/27/2002","3,851.34","3,791.43","3,900.11","3,770.66","","1.78%"
"08/26/2002","3,783.84","3,830.08","3,899.60","3,749.93","","-1.16%"
"08/23/2002","3,828.26","3,911.22","3,924.30","3,815.28","","-2.00%"
"08/22/2002","3,906.55","3,873.55","3,930.96","3,855.94","","0.99%"
"08/21/2002","3,868.17","3,770.75","3,903.75","3,770.75","","2.64%"
"08/20/2002","3,768.51","3,842.41","3,868.86","3,765.08","","-1.80%"
"08/19/2002","3,837.67","3,681.67","3,846.72","3,628.46","","4.15%"
"08/16/2002","3,684.69","3,665.67","3,703.87","3,576.01","","0.52%"
"08/15/2002","3,665.74","3,591.48","3,722.93","3,591.48","","2.11%"
"08/14/2002","3,589.92","3,677.54","3,677.54","3,542.06","","-2.53%"
"08/13/2002","3,683.21","3,660.40","3,703.55","3,553.12","","0.99%"
"08/12/2002","3,647.13","3,750.26","3,750.26","3,639.46","","-3.02%"
"08/09/2002","3,760.86","3,682.74","3,760.86","3,607.53","","2.22%"
"08/08/2002","3,679.26","3,473.48","3,679.26","3,473.48","","6.17%"
"08/07/2002","3,465.54","3,570.11","3,632.47","3,440.57","","-2.89%"
"08/06/2002","3,568.64","3,319.77","3,601.57","3,235.38","","7.08%"
"08/05/2002","3,332.65","3,533.30","3,536.05","3,327.96","","-5.66%"
"08/02/2002","3,532.49","3,601.71","3,624.23","3,496.49","","-2.05%"
"08/01/2002","3,606.45","3,699.31","3,806.97","3,545.28","","-2.53%"
"07/31/2002","3,700.14","3,876.80","3,945.38","3,700.14","","-4.61%"
"07/30/2002","3,878.94","3,852.93","3,878.94","3,741.79","","0.50%"
"07/29/2002","3,859.78","3,584.51","3,859.78","3,584.51","","7.85%"
"07/26/2002","3,579.00","3,526.29","3,581.99","3,368.29","","1.66%"
"07/25/2002","3,520.46","3,632.90","3,726.58","3,472.84","","-3.09%"
"07/24/2002","3,632.66","3,515.57","3,641.07","3,265.96","","3.32%"
"07/23/2002","3,515.83","3,711.30","3,810.51","3,512.46","","-4.76%"
"07/22/2002","3,691.43","3,888.11","3,888.11","3,638.51","","-5.15%"
"07/19/2002","3,891.88","4,092.96","4,092.96","3,875.84","","-5.09%"
"07/18/2002","4,100.75","4,095.44","4,152.45","4,031.91","","0.19%"
"07/17/2002","4,092.82","3,978.97","4,105.69","3,899.51","","2.89%"
"07/16/2002","3,977.75","3,913.12","4,052.06","3,825.54","","1.67%"
"07/15/2002","3,912.51","4,124.53","4,142.65","3,912.51","","-5.28%"
"07/12/2002","4,130.80","4,121.02","4,249.77","4,075.25","","0.30%"
"07/11/2002","4,118.50","4,179.79","4,179.79","4,039.23","","-1.71%"
"07/10/2002","4,190.22","4,352.77","4,354.23","4,188.64","","-4.11%"
"07/09/2002","4,369.76","4,445.93","4,480.49","4,341.85","","-1.63%"
"07/08/2002","4,442.33","4,475.89","4,476.15","4,393.28","","-0.91%"
"07/05/2002","4,483.03","4,268.23","4,483.03","4,268.23","","5.27%"
"07/04/2002","4,258.62","4,140.43","4,258.62","4,140.43","","2.91%"
"07/03/2002","4,138.15","4,202.29","4,252.49","4,101.58","","-1.38%"
"07/02/2002","4,195.95","4,359.17","4,359.17","4,163.80","","-3.91%"
"07/01/2002","4,366.81","4,377.10","4,443.69","4,318.23","","-0.36%"
"06/28/2002","4,382.56","4,275.29","4,388.27","4,275.29","","2.89%"
"06/27/2002","4,259.43","4,103.62","4,259.43","4,103.62","","3.91%"
"06/26/2002","4,099.05","4,187.12","4,187.12","3,946.70","","-2.47%"
"06/25/2002","4,202.97","4,129.46","4,260.09","4,129.46","","1.84%"
"06/24/2002","4,127.21","4,233.87","4,297.98","4,045.52","","-2.49%"
"06/21/2002","4,232.40","4,244.24","4,312.12","4,153.31","","-0.31%"
"06/20/2002","4,245.68","4,352.31","4,371.00","4,199.85","","-2.51%"
"06/19/2002","4,354.82","4,423.83","4,423.83","4,321.90","","-1.78%"
"06/18/2002","4,433.85","4,481.02","4,503.80","4,398.73","","-0.92%"
"06/17/2002","4,475.10","4,317.84","4,483.29","4,317.84","","3.98%"
"06/14/2002","4,303.85","4,464.93","4,464.93","4,252.86","","-3.72%"
"06/13/2002","4,470.14","4,517.44","4,584.57","4,441.65","","-0.89%"
"06/12/2002","4,510.19","4,599.06","4,599.06","4,480.99","","-2.08%"
"06/11/2002","4,606.09","4,587.10","4,686.13","4,555.17","","0.37%"
"06/10/2002","4,589.26","4,617.19","4,659.22","4,544.77","","-0.45%"
"06/07/2002","4,610.18","4,630.43","4,630.43","4,513.00","","-1.02%"
"06/06/2002","4,657.52","4,634.22","4,716.35","4,617.43","","0.72%"
"06/05/2002","4,624.31","4,632.49","4,685.07","4,602.15","","-0.03%"
"06/04/2002","4,625.79","4,731.24","4,731.24","4,580.92","","-2.57%"
"06/03/2002","4,747.95","4,818.07","4,850.38","4,725.88","","-1.46%"
"05/31/2002","4,818.30","4,765.92","4,859.01","4,765.92","","1.18%"
"05/30/2002","4,761.96","4,873.60","4,873.60","4,741.95","","-2.45%"
"05/29/2002","4,881.80","4,914.54","4,914.54","4,855.25","","-0.75%"
"05/28/2002","4,918.58","4,969.35","5,016.11","4,892.75","","-0.87%"
"05/27/2002","4,961.54","4,896.84","4,972.21","4,896.84","","1.27%"
"05/24/2002","4,899.13","4,890.46","4,937.48","4,880.55","","0.40%"
"05/23/2002","4,879.50","4,925.05","4,952.14","4,859.54","","-0.81%"
"05/22/2002","4,919.50","4,971.31","4,996.57","4,889.33","","-1.31%"
"05/21/2002","4,984.61","4,993.43","5,057.82","4,948.05","","-0.29%"
"05/20/2002","4,998.99","5,046.17","5,059.42","4,984.54","","-0.74%"
"05/17/2002","5,036.41","5,057.96","5,126.33","5,021.91","","-0.22%"
"05/16/2002","5,047.45","5,066.83","5,101.12","5,032.08","","-0.49%"
"05/15/2002","5,072.39","5,062.10","5,085.21","5,001.42","","0.46%"
"05/14/2002","5,049.08","4,981.88","5,068.42","4,956.01","","1.48%"
"05/13/2002","4,975.48","4,861.15","4,988.40","4,832.86","","2.13%"
"05/10/2002","4,871.70","4,961.03","4,964.14","4,849.09","","-1.91%"
"05/09/2002","4,966.48","5,023.98","5,026.09","4,952.41","","-1.24%"
"05/08/2002","5,028.59","4,878.74","5,028.59","4,878.74","","3.21%"
"05/07/2002","4,872.41","4,875.35","4,892.43","4,773.49","","-0.17%"
"05/06/2002","4,880.67","4,884.03","4,926.78","4,876.58","","-0.04%"
"05/03/2002","4,882.77","4,958.78","5,021.74","4,872.19","","-1.65%"
"05/02/2002","4,964.56","5,043.01","5,066.97","4,952.16","","-1.52%"
"04/30/2002","5,041.20","5,007.24","5,041.20","4,929.35","","0.66%"
"04/29/2002","5,008.04","4,994.20","5,008.04","4,945.42","","0.15%"
"04/26/2002","5,000.38","5,064.79","5,097.85","4,984.62","","-1.07%"
